येस	य े स |
फरबरी	फ र ब र ी |
रोपाइत	र ो प ा इ त |
ट्युबरोजक	ट ् य ु ब र ो ज क |
बसंत	ब स ं त |
रितु	र ि त ु |
दुब्बर	द ु ब ् ब र |
पोसैत	प ो स ै त |
सुधरि	स ु ध र ि |
पहुंचेबाक	प ह ु ं च े ब ा क |
जीबिका	ज ी ब ि क ा |
समुह	स म ु ह |
ब्यापार	ब ् य ा प ा र |
सचिव	स च ि व |
जेनेबा	ज े न े ब ा |
उपजाल	उ प ज ा ल |
पूछलकै	प ू छ ल क ै |
तोराह	त ो र ा ह |
बाड़ीक	ब ा ड़ ी क |
मौशक	म ौ श क |
एकड़	ए क ड ़ |
तैँतालिस	त ै ँ त ा ल ि स |
वर्गफीट	व र ् ग फ ी ट |
ओसाएब	ओ स ा ए ब |
बिनोबर	ब ि न ो ब र |
जीबनमे	ज ी ब न म े |
विवाह	व ि व ा ह |
पुष्पक	प ु ष ् प क |
घुनक	घ ु न क |
सुखार	स ु ख ा र |
चाराक	च ा र ा क |
कागज़	क ा ग ज़ |
ठेकेदार	ठ े क े द ा र |
रहअ	र ह अ |
वनीकरणक	व न ी क र ण क |
वायुक	व ा य ु क |
संचार	स ं च ा र |
दूहा	द ू ह ा |
बापस	ब ा प स |
गइल	ग इ ल |
ऋणकर्ताक	ऋ ण क र ् त ा क |
देहांत	द े ह ा ं त |
भेलाह	भ े ल ा ह |
खरीदबय	ख र ी द ब य |
हड़प्पा	ह ड़ प ् प ा |
खंडहर	ख ं ड ह र |
मैन	म ै न |
दुहि	द ु ह ि |
स्टोरेज	स ् ट ो र े ज |
पैंचक	प ै ं च क |
पुंजीसँ	प ु ं ज ी स ँ |
क्षमताक	क ् ष म त ा क |
प्राणी	प ् र ा ण ी |
संवेष्टनक	स ं व े ष ् ट न क |
हबामे	ह ब ा म े |
बताबरण	ब त ा ब र ण |
उपजाएब	उ प ज ा ए ब |
ऐयरोपोनिक	ऐ य र ो प ो न ि क |
मोलस्का	म ो ल स ् क ा |
मोलस्कीसाइड	म ो ल स ् क ी स ा इ ड |
एन्युटी	ए न ् य ु ट ी |
बिषेश	ब ि ष े श |
सुद	स ु द |
किसानक्राफ्ट	क ि स ा न क ् र ा फ ् ट |
पाबर	प ा ब र |
स्पेयर	स ् प े य र |
कर्नाटके	क र ् न ा ट क े |
प्रोडक्शन	प ् र ो ड क ् श न |
पी	प ी |
इंटेसिब	इ ं ट े स ि ब |
लगेबा	ल ग े ब ा |
छिम्मड़ि	छ ि म ् म ड़ ि |
देखिकए	द े ख ि क ए |
मोन	म ो न |
ललचा	ल ल च ा |
छौरा	छ ौ र ा |
बैरक	ब ै र क |
ढेला	ढ े ल ा |
मारइ	म ा र इ |
जहा	ज ह ा |
पनी	प न ी |
रखल	र ख ल |
दोरस	द ो र स |
चौदह	च ौ द ह |
सजमनि	स ज म न ि |
खेबही	ख े ब ह ी |
हेबही	ह े ब ह ी |
उतरि	उ त र ि |
बिकाइ	ब ि क ा इ |
राखही	र ा ख ह ी |
सप्लाई	स प ् ल ा ई |
जुटक	ज ु ट क |
अर्जन	अ र ् ज न |
काइटोसान	क ा इ ट ो स ा न |
यौगिक	य ौ ग ि क |
खोलायब	ख ो ल ा य ब |
कयलह्नि	क य ल ह ् न ि |
विक्रमादित्य	व ि क ् र म ा द ि त ् य |
ख़रीदल	ख़ र ी द ल |
मांस	म ा ं स |
कार्बन	क ा र ् ब न |
कैस	क ै स |
मैंग्रोव	म ै ं ग ् र ो व |
ज्वारीय	ज ् व ा र ी य |
दलदल	द ल द ल |
नागालैंड	न ा ग ा ल ै ं ड |
एग्रीबाजार	ए ग ् र ी ब ा ज ा र |
चरवाही	च र व ा ह ी |
परधान	प र ध ा न |
मन्त्री	म न ् त ् र ी |
गरीबक	ग र ी ब क |
श्योरिटी	श ् य ो र ि ट ी |
बॉण्ड	ब ॉ ण ् ड |
अनौपचारित	अ न ौ प च ा र ि त |
मोम	म ो म |
आभा	आ भ ा |
धरिक	ध र ि क |
कैल्शियम	क ै ल ् श ि य म |
उड़ीसा	उ ड़ ी स ा |
बेरहटक	ब े र ह ट क |
अनिश्चितताक	अ न ि श ् च ि त त ा क |
शमनक	श म न क |
बिहारी	ब ि ह ा र ी |
वाजपेयीक	व ा ज प े य ी क |
नाइप	न ा इ प |
बेचलैन	ब े च ल ै न |
पाबनि	प ा ब न ि |
देवता	द े व त ा |
भोग	भ ो ग |
अतिरिक्त	अ त ि र ि क ् त |
ढोई	ढ ो ई |
पिकअप	प ि क अ प |
जमैत	ज म ै त |
लेवे	ल े व े |
आर.बी.आई	आ र . ब ी . आ ई |
नियत्रंण	न ि य त ् र ं ण |
खोलबाय	ख ो ल ब ा य |
पैसो	प ै स ो |
कटबे	क ट ब े |
कल्चर	क ल ् च र |
ओसौनिक	ओ स ौ न ि क |
पेयजल	प े य ज ल |
कलाक	क ल ा क |
जनम	ज न म |
शेयरधारकक	श े य र ध ा र क क |
पत्नी	प त ् न ी |
यहाँ	य ह ा ँ |
लगेबे	ल ग े ब े |
जोड़लऽ	ज ो ड़ ल ऽ |
लाहौर	ल ा ह ौ र |
गारेंटर	ग ा र े ं ट र |
चक्रण	च क ् र ण |
चालीक	च ा ल ी क |
लाखक	ल ा ख क |
खड़ा	ख ड़ ा |
मुखिय	म ु ख ि य |
ताल	त ा ल |
भांज	भ ा ं ज |
बैठा	ब ै ठ ा |
नेने	न े न े |
बरहमासा	ब र ह म ा स ा |
नुनछड़ैन	न ु न छ ड़ ै न |
पटायब	प ट ा य ब |
अखनो	अ ख न ो |
भेंडर	भ े ं ड र |
डीलरशिप	ड ी ल र श ि प |
केहनो	क े ह न ो |
लियल	ल ि य ल |
इंटरेस्ट	इ ं ट र े स ् ट |
डिविडेंट	ड ि व ि ड े ं ट |
मोजर	म ो ज र |
वनलो	व न ल ो |
टिकर	ट ि क र |
टेपो	ट े प ो |
प्रसारित	प ् र स ा र ि त |
मिलायबाक	म ि ल ा य ब ा क |
एम.एन.आर.ई.जी.ए	ए म . ए न . आ र . ई . ज ी . ए |
कैरके	क ै र क े |
बधशाला	ब ध श ा ल ा |
सफाइक	स फ ा इ क |
भइयो	भ इ य ो |
नहियो	न ह ि य ो |
घासक	घ ा स क |
अण्डीक	अ ण ् ड ी क |
निवासी	न ि व ा स ी |
कमीक	क म ी क |
चक्का	च क ् क ा |
बचेबाक	ब च े ब ा क |
पूर्णकालीक	प ू र ् ण क ा ल ी क |
अंशकालिक	अ ं श क ा ल ि क |
ओही	ओ ह ी |
पठेबै	प ठ े ब ै |
तकक	त क क |
राजस्वक	र ा ज स ् व क |
महु	म ह ु |
विज्ञापनक	व ि ज ् ञ ा प न क |
पहुंचा	प ह ु ं च ा |
पहिरी	प ह ि र ी |
लकड़ीपर	ल क ड़ ी प र |
पायरिल्ला	प ा य र ि ल ् ल ा |
आमद	आ म द |
चितकाबर	च ि त क ा ब र |
संचय	स ं च य |
प्रसादक	प ् र स ा द क |
विलासिता	व ि ल ा स ि त ा |
पोसि	प ो स ि |
बढ़बैत	ब ढ़ ब ै त |
मेधावी	म े ध ा व ी |
नोटो	न ो ट ो |
जैते	ज ै त े |
डाकघर	ड ा क घ र |
केन्द्रो	क े न ् द ् र ो |
अंदर	अ ं द र |
चुकाव	च ु क ा व |
छोटगरे	छ ो ट ग र े |
भो	भ ो |
सूख	स ू ख |
पैक्स	प ै क ् स |
शत	श त |
परमान	प र म ा न |
समझाय	स म झ ा य |
लगैल	ल ग ै ल |
डाकक	ड ा क क |
बंटवारा	ब ं ट व ा र ा |
दामक	द ा म क |
भोगतान	भ ो ग त ा न |
रूइया	र ू इ य ा |
बनइ	ब न इ |
कलकत्ता	क ल क त ् त ा |
कनिटा	क न ि ट ा |
फर्क	फ र ् क |
प्रदर्शित	प ् र द र ् श ि त |
हाँसूक	ह ा ँ स ू क |
पीट	प ी ट |
मोटापा	म ो ट ा प ा |
केलेस्ट्रॉल	क े ल े स ् ट ् र ॉ ल |
स्तिथि	स ् त ि थ ि |
याकूब	य ा क ू ब |
कागर	क ा ग र |
नूरी	न ू र ी |
अभियंत्रण	अ भ ि य ं त ् र ण |
क्विंटल	क ् व ि ं ट ल |
ठंढ	ठ ं ढ |
गीरावक	ग ी र ा व क |
खेतिहरक	ख े त ि ह र क |
नरक	न र क |
लड़ाइ	ल ड़ ा इ |
विजेता	व ि ज े त ा |
चेन्नई	च े न ् न ई |
दण्डित	द ण ् ड ि त |
होंग	ह ो ं ग |
कोंग	क ो ं ग |
राहैड़क	र ा ह ै ड़ क |
गाँठ	ग ा ँ ठ |
गोईठा	ग ो ई ठ ा |
पाँति	प ा ँ त ि |
मगरा	म ग र ा |
बीकानेर	ब ी क ा न े र |
बाड़मेर	ब ा ड़ म े र |
जैसलमेर	ज ै स ल म े र |
अप्रीलो	अ प ् र ी ल ो |
जिवन	ज ि व न |
भरलो	भ र ल ो |
गिरावट	ग ि र ा व ट |
एसिडक	ए स ि ड क |
खेते	ख े त े |
रोपलनि	र ो प ल न ि |
रैंचा	र ै ं च ा |
क्रुसीफेरे	क ् र ु स ी फ े र े |
परिबारक	प र ि ब ा र क |
